source_id,source_name,city,title,price_usd,url,first_seen_at,last_seen_at,sent_in_email,sent_at,latitude,longitude,thumbnail_url,description
craigslist_7911229001,craigslist,"New York","_____FACTORY LOFT_____SUNLIGHT_____LARGE WINDOWS_____HIGH CEILINGS___$2,900WILLIAMSBURG right @ L train JEFFERSON______________________",2900.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-factory-loftsunlightlarge/7911229001.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350231",0,,,,,
craigslist_7911210447,craigslist,"New York","___HUGE Penthouse ___- Elevator - Gym - Laundry InApt - Roof-Parking__$3,750WILLIAMSBURG right @ M L J Trains___________________________",3750.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-penthouse-elevator-gym/7911210447.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350235",0,,,,,
craigslist_7911185879,craigslist,"New York","2 bedroom apartment$2,500Far Rockaway",2500.0,https://newyork.craigslist.org/brk/apa/d/far-rockaway-bedroom-apartment/7911185879.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350238",0,,,,,
craigslist_7910728963,craigslist,"New York","Furnished 2 Bdrm, 1 Bath with utilities included$3,350Bedford Stuyvesant",3350.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-furnished-bdrm-bath-with/7910728963.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350242",0,,,,,
craigslist_7910585689,craigslist,"New York","___HUGE Penthouse ___- Elevator - Gym - Laundry InApt - Roof-Parking__$3,750WILLIAMSBURG right @ M L J Trains___________________________",3750.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-penthouse-elevator-gym/7910585689.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350246",0,,,,,
craigslist_7910572817,craigslist,"New York","Newly renovated 2 bed room apartment$3,000Bedford Stuvesant",3000.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-newly-renovated-bed-room/7910572817.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350250",0,,,,,
craigslist_7910537423,craigslist,"New York","___HUGE LIVINGROOM___- Elevator - Gym - Laundry InApt - Roof-Parking__$3,300WILLIAMSBURG right @ M L J Trains___________________________",3300.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-livingroom-elevator-gym/7910537423.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350253",0,,,,,
craigslist_7910461381,craigslist,"New York","*Brand*N.E.W*1+1*Expo*Brick*M.U.S.T**S.E.E$2,500Bay Ridge",2500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-brandnew11expobrickmustsee/7910461381.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350259",0,,,,,
craigslist_7910407647,craigslist,"New York","Charming Gut-Renovated Garden Apt Near SUNY Downstate & Prospect Park$2,700Flatbush",2700.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-gut-renovated-garden/7910407647.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350270",0,,,,,
craigslist_7910395008,craigslist,"New York","BRIGHT NO FEE LUXURIOUS 2 BED/2BATH IN CONEY ISLAND$3,079Coney Island",3079.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-no-fee-luxurious-bed/7910395008.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350274",0,,,,,
craigslist_7910313085,craigslist,"New York","$3000 2 Bedroom 244 Central Ave 3L Bushwick Gem HIGH Ceilings$3,000Bushwick",3000.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-bedroom-244-central-ave-3l/7910313085.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350278",0,,,,,
craigslist_7910159400,craigslist,"New York","FOR RENT Luxury-1 Bed/1 Bath | Elevator,Gym, Roof Deck PRIME Bushwick!$2,987Brooklyn",2987.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-for-rent-luxury-bed-bath/7910159400.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350282",0,,,,,
craigslist_7910100329,craigslist,"New York","✨ Sun-Filled 1BR with Prime Layout | ✨ P.E.R.F.E.C.T. 4 Y.O.U$2,650Bay Ridge",2650.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-sun-filled-1br-with-prime/7910100329.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350287",0,,,,,
craigslist_7909968000,craigslist,"New York","Bright 2 bedrooms & 1 bathroom for rent$3,095Brooklyn",3095.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-bedrooms-bathroom-for/7909968000.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350291",0,,,,,
craigslist_7909951237,craigslist,"New York","2 LARGE BR APARTMENT IN BENSONHURST$2,850BENSONHURST ,BROOKLYN",2850.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-br-apartment-in/7909951237.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350296",0,,,,,
craigslist_7909723507,craigslist,"New York","Skyline Living in NYC – 93 Floor Luxury Apartment- Furnished- Brooklyn$2,500Downtown Brooklyn",2500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-skyline-living-in-nyc-93-floor/7909723507.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350308",0,,,,,
craigslist_7909678115,craigslist,"New York","STEPS TO PROSPECT PARK!SUNNY 1 BED!CLOSET SPACE!NEAR SUBWAY!MUST SEE!$3,000Crown Heights",3000.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-steps-to-prospect-parksunny/7909678115.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350312",0,,,,,
craigslist_7909557652,craigslist,"New York","🔥 NO FEE / NO DEPOSIT — 2BR / 2BA — Beach — Subway 3 Min — $2800$2,800Brooklyn",2800.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-no-deposit-2br-2ba/7909557652.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350316",0,,,,,
craigslist_7909432907,craigslist,"New York","NO FEE WONDERFUL OVERSIZED LOFT-LIKE SPACE * 4 ROOMS * BEAUTIFUL RENO$2,700Ridgewood/Bushwick border",2700.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-wonderful-oversized/7909432907.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350320",0,,,,,
craigslist_7909409707,craigslist,"New York","#Sunset park# industry#city#Area# D,N#expresstrain#renovated$2,500Brooklyn,",2500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-sunset-park-industrycityarea/7909409707.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350323",0,,,,,
craigslist_7909237268,craigslist,"New York","sunset park Brooklyn artist studio w/private deck MADE Bush Terminal$3,500sunset park",3500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-sunset-park-brooklyn-artist/7909237268.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350327",0,,,,,
craigslist_7909102698,craigslist,"New York","Skyline Living in NYC – High-Rise 93 Floor Luxury Apartment Furnished$2,500Downtown Brooklyn",2500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-skyline-living-in-nyc-high/7909102698.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350331",0,,,,,
craigslist_7909082537,craigslist,"New York","HUGE 2BR for $3500 no fee! Easy subway access, amenities$3,500Bushwick",3500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-2br-for-3500-no-fee-easy/7909082537.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350335",0,,,,,
craigslist_7909068812,craigslist,"New York","SUNNY 2 BED 2 BATH GEM!W/D IN BLDG!ROOF DECK!KING SIZE RMS!MUST SEE!$3,200Flatbush",3200.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-sunny-bed-bath-gemw-in/7909068812.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350338",0,,,,,
craigslist_7909023885,craigslist,"New York","Very spacious, doorman, elevator, laundry, gym, ocean views, no fee$3,600Brighton Beach/Sheepshead Bay",3600.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-very-spacious-doorman-elevator/7909023885.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350342",0,,,,,
craigslist_7908990793,craigslist,"New York","__HUGE LivingRom 2 Full Bath - Elevator - Gym - Laundry InApt - Roof__$4,000WILLIAMSBURG right @ M L J Trains___________________________",4000.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-livingrom-full-bath/7908990793.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350345",0,,,,,
craigslist_7908965158,craigslist,"New York","Basement Level Loft 1BR$3,800Williamsburg Brooklyn",3800.0,https://newyork.craigslist.org/brk/apa/d/new-york-basement-level-loft-1br/7908965158.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350349",0,,,,,
craigslist_7908942876,craigslist,"New York","Live Inside a New York Movie- Iconic Williamsburg Views- 1Bedroom$3,500Williamsburg",3500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-live-inside-new-york-movie/7908942876.html,"2026-02-02 03:22:35","2026-02-02 03:58:49.190939",0,,,,,
craigslist_7908680113,craigslist,"New York","No Broker?s Fee + Free Rent! Oceanfront Luxury Living in Coney Island$3,079Gravesend",3079.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-brokers-fee-free-rent/7908680113.html,"2026-02-02 03:22:35","2026-02-02 03:58:49.190943",0,,,,,
craigslist_7908666676,craigslist,"New York","Renovated all new 2 bedroom includes cooking gas dog ok$2,990Bay Ridge",2990.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-renovated-all-new-bedroom/7908666676.html,"2026-02-02 03:22:35","2026-02-02 03:58:49.190953",0,,,,,
streeteasy_707s?featured=1,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/miramar-at-405-west-206th-street/707s?featured=1,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_601?featured=1,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/162_20-89-avenue-jamaica/601?featured=1,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_e614,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/414-gerard-avenue-bronx/e614,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_51028,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/one38-138-bruckner-boulevard-bronx/51028,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_628?infeed=1,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/499-president/628?infeed=1,"2026-02-02 03:43:18","2026-02-02 03:55:26.738917",0,,,,,
streeteasy_602,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/miramar-at-405-west-206th-street/602,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_708,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/540-atlantic/708,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_811,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/miramar-at-405-west-206th-street/811,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_203,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/161-lenox/203,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_201,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/161-lenox/201,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_4g,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/sunrose-tower/4g,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_ph9,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/10-halletts-point/ph9,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_11u,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/the-baltic-canal/11u,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_1906,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/forty-six-fifty/1906,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
renthop_975,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/975-nostrand-ave/75949037,"2026-02-02 03:43:18","2026-02-02 03:58:49.190961",0,,,,,
renthop_17,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/east-34th-street/17a/66711974,"2026-02-02 03:43:18","2026-02-02 03:58:49.190965",0,,,,,
renthop_424,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/w-53st/424/70350262,"2026-02-02 03:43:18","2026-02-02 03:58:49.190957",0,,,,,
renthop_709,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/west-57th-street/709/75352037,"2026-02-02 03:43:18","2026-02-02 03:58:49.190968",0,,,,,
renthop_41,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/41-18-crescent-street/75968286,"2026-02-02 03:43:18","2026-02-02 03:58:49.190972",0,,,,,
renthop_7,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/northern-boulevard/7a/75626307,"2026-02-02 03:43:18","2026-02-02 03:58:49.191066",0,,,,,
renthop_2,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/hancock-street/2/75819451,"2026-02-02 03:43:18","2026-02-02 03:58:49.191028",0,,,,,
renthop_390,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/390-lorimer-st/75695810,"2026-02-02 03:43:18","2026-02-02 03:58:49.191039",0,,,,,
renthop_75893084,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/east-69th-street/gf/75893084,"2026-02-02 03:43:18","2026-02-02 03:58:49.191044",0,,,,,
renthop_83,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/83-beadel-street/3b/75970611,"2026-02-02 03:43:18","2026-02-02 03:58:49.191061",0,,,,,
renthop_75961609,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/rector-st/75961609,"2026-02-02 03:43:18","2026-02-02 03:58:49.191049",0,,,,,
renthop_913,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/malt-dr/913/73582374,"2026-02-02 03:43:18","2026-02-02 03:58:49.191057",0,,,,,
renthop_402,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/eastern-parkway-x-bedford-ave/402/74123251,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
renthop_925,renthop,"New York","RentHop Listing",0.0,https://www.renthop.com/listings/dean-street/925/75851669,"2026-02-02 03:43:18","2026-02-02 03:43:18",0,,,,,
streeteasy_11b?featured=1,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/the-motto/11b?featured=1,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
streeteasy_2?featured=1,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/39_07-56-street-woodside/2?featured=1,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
streeteasy_2226,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/1515-surf/2226,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
streeteasy_5d,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/sunrose-tower/5d,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
streeteasy_4235,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/one38-138-bruckner-boulevard-bronx/4235,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
streeteasy_727,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/1515-surf/727,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
streeteasy_e505,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/414-gerard-avenue-bronx/e505,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
streeteasy_5f,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/962-bushwick-avenue-brooklyn/5f,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
streeteasy_w635,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/445-gerard-avenue-bronx/w635,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
streeteasy_4bb,streeteasy,"New York","StreetEasy Listing",0.0,https://streeteasy.com/building/longview-brooklyn/4bb,"2026-02-02 03:55:26","2026-02-02 03:55:26",0,,,,,
